country,latitude,longitude
KOREA,35.9078,127.7669
JAPAN,36.2048,138.2529
GERMANY,51.1657,10.4515
FRANCE,46.6034,1.8883
RUSSIA,61.524,105.3188
INDIA,20.5937,78.9629
ITALY,41.8719,12.5674
TURKEY,38.9637,35.2433
NETHERLANDS,52.12326,5.2913
SAUDI,23.8859,45.0792
