,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
703,"frozenset({16, 26, 31})","frozenset({43, 36})",0.002328288707799767,0.012805587892898719,0.002328288707799767,1.0,78.0909090909091,1.0,0.0022984736021119936,inf,0.9894982497082847,0.18181818181818185,1.0,0.5909090909090909
643,"frozenset({24, 34, 22})","frozenset({31, 7})",0.002328288707799767,0.012805587892898719,0.002328288707799767,1.0,78.0909090909091,1.0,0.0022984736021119936,inf,0.9894982497082847,0.18181818181818185,1.0,0.5909090909090909
642,"frozenset({34, 31, 7})","frozenset({24, 22})",0.002328288707799767,0.012805587892898719,0.002328288707799767,1.0,78.0909090909091,1.0,0.0022984736021119936,inf,0.9894982497082847,0.18181818181818185,1.0,0.5909090909090909
682,"frozenset({26, 21, 14})","frozenset({18, 15})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,1.0,0.0022957631379585597,inf,0.9883313885647608,0.16666666666666669,1.0,0.5833333333333334
652,"frozenset({34, 10, 36})","frozenset({44, 22})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,1.0,0.0022957631379585597,inf,0.9883313885647608,0.16666666666666669,1.0,0.5833333333333334
646,"frozenset({24, 22, 31})","frozenset({34, 7})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,1.0,0.0022957631379585597,inf,0.9883313885647608,0.16666666666666669,1.0,0.5833333333333334
666,"frozenset({24, 20, 15})","frozenset({12, 30})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,1.0,0.0022957631379585597,inf,0.9883313885647608,0.16666666666666669,1.0,0.5833333333333334
702,"frozenset({16, 26, 43})","frozenset({36, 31})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,1.0,0.0022957631379585597,inf,0.9883313885647608,0.16666666666666669,1.0,0.5833333333333334
700,"frozenset({16, 43, 36})","frozenset({26, 31})",0.002328288707799767,0.015133876600698487,0.002328288707799767,1.0,66.07692307692308,1.0,0.0022930526738051257,inf,0.9871645274212368,0.15384615384615385,1.0,0.5769230769230769
653,"frozenset({34, 10, 22})","frozenset({36, 44})",0.002328288707799767,0.01629802095459837,0.002328288707799767,1.0,61.35714285714286,1.0,0.0022903422096516917,inf,0.9859976662777129,0.14285714285714288,1.0,0.5714285714285714
658,"frozenset({26, 11, 36})","frozenset({17, 21})",0.002328288707799767,0.01629802095459837,0.002328288707799767,1.0,61.35714285714286,1.0,0.0022903422096516917,inf,0.9859976662777129,0.14285714285714288,1.0,0.5714285714285714
645,"frozenset({24, 31, 7})","frozenset({34, 22})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,1.0,0.002287631745498258,inf,0.9848308051341891,0.13333333333333333,1.0,0.5666666666666667
676,"frozenset({26, 43, 13})","frozenset({40, 14})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,1.0,0.002287631745498258,inf,0.9848308051341891,0.13333333333333333,1.0,0.5666666666666667
675,"frozenset({40, 26, 13})","frozenset({43, 14})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,1.0,0.002287631745498258,inf,0.9848308051341891,0.13333333333333333,1.0,0.5666666666666667
636,"frozenset({45, 6, 31})","frozenset({18, 38})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,1.0,0.002287631745498258,inf,0.9848308051341891,0.13333333333333333,1.0,0.5666666666666667
635,"frozenset({18, 45, 6})","frozenset({38, 31})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,1.0,0.002287631745498258,inf,0.9848308051341891,0.13333333333333333,1.0,0.5666666666666667
664,"frozenset({12, 20, 15})","frozenset({24, 30})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,1.0,0.002287631745498258,inf,0.9848308051341891,0.13333333333333333,1.0,0.5666666666666667
644,"frozenset({31, 22, 7})","frozenset({24, 34})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,1.0,0.002287631745498258,inf,0.9848308051341891,0.13333333333333333,1.0,0.5666666666666667
701,"frozenset({16, 26, 36})","frozenset({43, 31})",0.002328288707799767,0.018626309662398137,0.002328288707799767,1.0,53.6875,1.0,0.002284921281344824,inf,0.9836639439906651,0.125,1.0,0.5625
688,"frozenset({40, 14, 30})","frozenset({27, 31})",0.002328288707799767,0.018626309662398137,0.002328288707799767,1.0,53.6875,1.0,0.002284921281344824,inf,0.9836639439906651,0.125,1.0,0.5625
665,"frozenset({12, 30, 15})","frozenset({24, 20})",0.002328288707799767,0.020954598370197905,0.002328288707799767,1.0,47.72222222222222,1.0,0.002279500353037956,inf,0.9813302217036173,0.1111111111111111,1.0,0.5555555555555556
674,"frozenset({40, 13, 14})","frozenset({26, 43})",0.002328288707799767,0.02211874272409779,0.002328288707799767,1.0,45.21052631578947,1.0,0.002276789888884522,inf,0.9801633605600933,0.10526315789473684,1.0,0.5526315789473684
694,"frozenset({19, 44, 21})","frozenset({34, 15})",0.002328288707799767,0.024447031431897557,0.002328288707799767,1.0,40.904761904761905,1.0,0.002271368960577654,inf,0.9778296382730455,0.09523809523809523,1.0,0.5476190476190477
673,"frozenset({40, 43, 13})","frozenset({26, 14})",0.002328288707799767,0.025611175785797437,0.002328288707799767,1.0,39.04545454545455,1.0,0.00226865849642422,inf,0.9766627771295215,0.09090909090909091,1.0,0.5454545454545454
